acme_code;background_education;department_and_role;level_code;level_name;recruitment_code;recruitment_source_name;reason_dimissal_code;reason_dimissal_name
1;10|Doctorate;5| Presidency|5|CEO;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
2;10|Doctorate;5| Presidency|6|Vice President;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
3;7|Undergraduate degree;5| Presidency|8|Bilingual Secretary;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
4;10|Doctorate;6|Administration|7|Director;#N/A;#N/A;15;Website;#N/A;#N/A
5;9|Master’s degree;10|Operations|7|Director;#N/A;#N/A;5;Indeed;#N/A;#N/A
6;8|Graduate school;8|Human Resource|7|Director;#N/A;#N/A;13;Google;#N/A;#N/A
7;9|Master’s degree;6|Administration|7|Director;#N/A;#N/A;13;Google;#N/A;#N/A
8;10|Doctorate;7|Finance|7|Director;#N/A;#N/A;5;Indeed;#N/A;#N/A
9;10|Doctorate;8|Human Resource|7|Director;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
10;9|Master’s degree;9| Commercial|7|Director;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
11;9|Master’s degree;10|Operations|7|Director;#N/A;#N/A;11;Next Station;#N/A;#N/A
12;10|Doctorate;11|Communication & Marketing|7|Director;#N/A;#N/A;11;Next Station;#N/A;#N/A
13;9|Master’s degree;12|Controlling|7|Director;#N/A;#N/A;5;Indeed;#N/A;#N/A
14;10|Doctorate;13|Audit|7|Director;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
15;7|Undergraduate degree;14|Information Technology|14|Manager;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
16;7|Undergraduate degree;15|Juridical|14|Manager;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
17;8|Graduate school;16|  Sales|14|Manager;#N/A;#N/A;13;Google;#N/A;#N/A
18;8|Graduate school;6|Administration|14|Manager;#N/A;#N/A;5;Indeed;#N/A;#N/A
19;9|Master’s degree;7|Finance|14|Manager;#N/A;#N/A;5;Indeed;#N/A;#N/A
20;8|Graduate school;8|Human Resource|14|Manager;#N/A;#N/A;5;Indeed;#N/A;#N/A
